Date,"Total membership","Full Members",Guests,"Daily active members","Daily members posting messages","Weekly active members","Weekly members posting messages","Messages in public channels","Messages in private channels","Messages in shared channels","Messages in DMs","Percent of messages, public channels","Percent of messages, private channels","Percent of messages, DMs","Percent of views, public channels","Percent of views, private channels","Percent of views, DMs",Name,"Public channels, single-workspace","Messages posted"
2019-09-30,6,6,0,5,2,5,2,2,0,0,0,1,0,0,0.7021,0.0213,0.2766,0,7,10
2019-10-01,16,16,0,15,2,15,3,1,0,0,4,0.2,0,0.8,0.8283,0,0.1717,0,7,27
2019-10-02,21,21,0,14,1,20,4,1,0,0,3,0.25,0,0.75,0.8841,0,0.1159,0,7,36
2019-10-03,21,21,0,7,0,21,4,0,0,0,0,0,0,0,0.5625,0,0.4375,0,7,44
2019-10-04,22,22,0,6,2,22,6,1,0,0,1,0.5,0,0.5,0.8095,0.0476,0.1429,0,9,53
2019-10-05,22,22,0,7,1,22,6,1,0,0,1,0.5,0,0.5,0.7895,0,0.2105,0,9,54
2019-10-06,22,22,0,2,0,22,6,0,0,0,0,0,0,0,0.7143,0,0.2857,0,9,54
2019-10-07,24,24,0,13,3,23,7,1,0,0,6,0.1429,0,0.8571,0.5818,0,0.4182,0,9,71
2019-10-08,24,24,0,23,17,24,17,28,3,0,9,0.7,0.075,0.225,0.8416,0.0452,0.1131,0,12,117
2019-10-09,24,24,0,22,8,24,18,13,22,0,10,0.2889,0.4889,0.2222,0.6524,0.2299,0.1176,0,12,167
2019-10-10,24,24,0,23,5,23,18,8,2,0,26,0.2222,0.0556,0.7222,0.6608,0.0234,0.3158,0,12,204
2019-10-11,24,24,0,15,2,23,18,2,0,0,0,1,0,0,0.9615,0,0.0385,0,12,206
2019-10-12,25,25,0,24,15,24,19,35,22,0,40,0.3608,0.2268,0.4124,0.6931,0.1139,0.1931,0,12,309
2019-10-13,25,25,0,16,5,24,19,5,0,0,1,0.8333,0,0.1667,0.9524,0.0159,0.0317,0,12,315
2019-10-14,26,26,0,21,4,25,19,6,2,0,1,0.6667,0.2222,0.1111,0.8947,0.0263,0.0789,0,12,326
2019-10-15,26,26,0,17,3,25,17,10,0,0,0,1,0,0,0.9737,0.0263,0,0,12,336
2019-10-16,26,26,0,23,5,25,16,5,3,0,34,0.119,0.0714,0.8095,0.5707,0.0543,0.375,0,12,384
2019-10-17,26,26,0,19,6,25,17,11,0,0,9,0.55,0,0.45,0.8649,0.009,0.1261,0,12,404
2019-10-18,26,26,0,16,6,25,17,15,1,0,7,0.6522,0.0435,0.3043,0.8684,0.0175,0.114,0,12,427
2019-10-19,26,26,0,24,18,24,20,96,3,0,89,0.5106,0.016,0.4734,0.6786,0.0089,0.3125,0,12,623
2019-10-20,27,27,0,18,7,24,20,6,0,0,8,0.4286,0,0.5714,0.7576,0.0101,0.2323,0,12,638
2019-10-21,28,28,0,24,12,26,20,43,2,0,35,0.5375,0.025,0.4375,0.7233,0.0233,0.2533,0,12,724
2019-10-22,28,28,0,24,15,26,20,13,0,0,86,0.1313,0,0.8687,0.5219,0.0117,0.4665,0,12,829
2019-10-23,28,28,0,20,12,26,22,20,5,0,24,0.4082,0.102,0.4898,0.6768,0.0798,0.2433,0,12,883
2019-10-24,28,28,0,21,7,26,21,2,1,0,16,0.1053,0.0526,0.8421,0.5278,0.0648,0.4074,0,12,906
2019-10-25,28,28,0,17,7,26,21,25,1,0,34,0.4167,0.0167,0.5667,0.5655,0.0138,0.4207,0,12,967
