,age,Dalc,Walc,Medu,Fedu,studytime,G3,sex_F,sex_M,romantic_no,romantic_yes
0,18,1,1,4,4,2,6,1,0,1,0
1,17,1,1,1,1,2,6,1,0,1,0
2,15,2,3,1,1,2,10,1,0,1,0
3,15,1,1,4,2,3,15,1,0,0,1
4,16,1,2,3,3,2,10,1,0,1,0
5,16,1,2,4,3,2,15,0,1,1,0
6,16,1,1,2,2,2,11,0,1,1,0
7,17,1,1,4,4,2,6,1,0,1,0
8,15,1,1,3,2,2,19,0,1,1,0
9,15,1,1,3,4,2,15,0,1,1,0
10,15,1,2,4,4,2,9,1,0,1,0
11,15,1,1,2,1,3,12,1,0,1,0
12,15,1,3,4,4,1,14,0,1,1,0
13,15,1,2,4,3,2,11,0,1,1,0
14,15,1,1,2,2,3,16,0,1,0,1
15,16,1,2,4,4,1,14,1,0,1,0
16,16,1,2,4,4,3,14,1,0,1,0
17,16,1,1,3,3,2,10,1,0,1,0
18,17,2,4,3,2,1,5,0,1,1,0
19,16,1,3,4,3,1,10,0,1,1,0
20,15,1,1,4,3,2,15,0,1,1,0
21,15,1,1,4,4,1,15,0,1,1,0
22,16,1,3,4,2,2,16,0,1,1,0
23,16,2,4,2,2,2,12,0,1,1,0
24,15,1,1,2,4,3,8,1,0,1,0
25,16,1,3,2,2,1,8,1,0,1,0
26,15,1,2,2,2,1,11,0,1,1,0
27,15,2,4,4,2,1,15,0,1,1,0
28,16,1,1,3,4,2,11,0,1,1,0
29,16,5,5,4,4,2,11,0,1,0,1
30,15,3,4,4,4,2,12,0,1,1,0
31,15,1,1,4,4,2,17,0,1,1,0
32,15,1,1,4,3,2,16,0,1,0,1
33,15,1,1,3,3,2,12,0,1,1,0
34,16,1,1,3,2,1,15,0,1,1,0
35,15,1,1,2,3,1,6,1,0,1,0
36,15,1,1,4,3,3,18,0,1,1,0
37,16,1,1,4,4,3,15,0,1,0,1
38,15,1,1,3,4,3,11,1,0,1,0
39,15,1,1,2,2,1,13,1,0,1,0
40,16,1,2,2,2,2,11,1,0,0,1
41,15,2,4,4,4,1,12,0,1,0,1
42,15,1,1,4,4,2,18,0,1,1,0
43,15,1,1,2,2,1,11,0,1,1,0
44,16,2,2,2,2,2,9,1,0,1,0
45,15,1,1,4,3,2,6,1,0,0,1
46,16,1,4,3,3,2,11,1,0,1,0
47,16,1,1,4,3,4,20,0,1,1,0
48,15,2,2,4,2,2,14,0,1,1,0
49,15,1,1,4,4,2,7,1,0,1,0
50,16,2,3,2,2,2,13,1,0,1,0
51,15,1,1,4,2,2,13,1,0,1,0
52,15,3,4,4,2,1,10,0,1,1,0
53,15,2,3,4,4,1,11,1,0,1,0
54,15,4,4,3,3,1,13,1,0,1,0
55,16,1,1,2,1,2,10,1,0,0,1
56,15,1,1,4,3,2,15,1,0,1,0
57,15,1,1,4,4,2,15,0,1,1,0
58,15,1,1,1,2,2,9,0,1,1,0
59,16,1,1,4,2,2,16,1,0,1,0
60,16,2,3,4,4,2,11,1,0,1,0
61,16,5,5,1,1,1,11,1,0,0,1
62,16,1,1,1,2,2,9,1,0,1,0
63,16,2,4,4,3,3,9,1,0,1,0
64,15,2,4,4,3,2,10,1,0,0,1
65,16,1,2,4,3,2,15,1,0,1,0
66,15,5,5,4,4,4,12,0,1,0,1
67,16,1,2,3,1,4,6,1,0,1,0
68,15,1,3,2,2,2,8,1,0,1,0
69,15,2,3,3,1,4,16,1,0,1,0
70,16,1,1,3,1,4,15,0,1,1,0
71,15,1,1,4,2,4,10,0,1,1,0
72,15,2,4,1,1,2,5,1,0,0,1
73,16,2,2,3,1,1,14,0,1,1,0
74,16,2,4,3,3,2,11,1,0,1,0
75,15,2,3,4,3,2,10,0,1,1,0
76,15,1,1,4,0,4,10,0,1,1,0
77,16,1,3,2,2,4,11,1,0,0,1
78,17,1,1,2,1,1,10,0,1,1,0
79,16,1,2,3,4,2,5,1,0,1,0
80,15,1,3,2,3,1,12,0,1,0,1
81,15,1,2,2,3,3,11,0,1,1,0
82,15,1,1,3,2,2,6,1,0,1,0
83,15,1,3,2,2,2,15,0,1,1,0
84,15,2,3,1,1,2,10,1,0,1,0
85,15,2,3,4,4,2,8,1,0,0,1
86,16,1,2,2,2,2,6,1,0,1,0
87,15,1,3,4,2,3,14,1,0,1,0
88,16,1,1,2,2,2,10,0,1,1,0
89,16,3,5,4,4,2,7,0,1,1,0
90,16,1,3,3,3,3,8,1,0,0,1
91,15,1,3,4,3,1,18,1,0,1,0
92,16,2,3,3,1,2,6,1,0,1,0
93,16,1,1,4,2,2,10,1,0,1,0
94,15,1,1,2,2,4,14,0,1,1,0
95,15,1,1,1,1,4,10,1,0,1,0
96,16,1,1,4,3,1,15,0,1,1,0
97,16,1,1,2,1,2,10,1,0,0,1
98,16,1,2,4,4,1,14,1,0,1,0
99,16,1,1,4,3,3,8,1,0,1,0
100,16,5,5,4,4,1,5,0,1,1,0
101,16,1,1,4,4,3,17,0,1,0,1
102,15,1,1,4,4,1,14,0,1,1,0
103,15,1,1,3,2,2,6,1,0,1,0
104,15,1,1,3,4,2,18,0,1,1,0
105,15,1,1,3,3,4,11,1,0,1,0
106,15,1,1,2,2,4,8,1,0,1,0
107,16,1,1,3,3,3,18,0,1,1,0
108,15,3,5,4,4,4,13,0,1,0,1
109,16,1,1,4,4,3,16,1,0,0,1
110,15,1,1,4,4,1,19,0,1,1,0
111,16,1,1,3,3,3,10,1,0,1,0
112,16,1,1,2,2,2,13,1,0,1,0
113,15,1,1,4,2,1,19,0,1,1,0
114,15,1,1,2,1,2,9,0,1,0,1
115,16,1,2,4,4,2,16,0,1,1,0
116,15,1,1,4,4,2,14,0,1,1,0
117,16,1,1,3,3,1,13,0,1,1,0
118,17,1,4,1,3,2,8,0,1,1,0
119,15,1,2,3,4,1,13,0,1,1,0
120,15,1,2,1,2,2,15,1,0,1,0
121,15,1,2,2,2,4,15,0,1,1,0
122,16,1,2,2,4,2,13,1,0,0,1
123,16,1,4,4,4,1,13,0,1,1,0
124,16,1,1,2,2,2,8,1,0,0,1
125,15,3,2,3,4,1,12,0,1,1,0
126,15,1,1,3,4,2,11,1,0,0,1
127,19,1,1,0,1,2,9,1,0,1,0
128,18,1,2,2,2,1,0,0,1,1,0
129,16,2,5,4,4,1,18,0,1,1,0
130,15,2,2,3,4,3,0,1,0,0,1
131,15,1,2,1,1,1,0,1,0,0,1
132,17,1,3,2,2,1,12,1,0,0,1
133,16,1,4,3,4,1,11,1,0,1,0
134,15,1,1,3,4,2,0,0,1,0,1
135,15,1,1,4,4,3,0,1,0,0,1
136,17,2,4,3,4,2,0,0,1,1,0
137,16,1,1,3,3,1,0,1,0,0,1
138,16,1,3,1,1,2,12,0,1,0,1
139,15,1,1,4,4,1,15,1,0,1,0
140,15,1,1,4,3,4,0,0,1,1,0
141,16,2,2,2,2,1,9,0,1,1,0
142,15,1,1,4,4,3,11,1,0,1,0
143,16,3,3,1,1,1,13,1,0,1,0
144,17,1,2,2,1,1,0,0,1,1,0
145,15,1,2,1,1,2,11,1,0,1,0
146,15,1,1,3,2,2,0,1,0,1,0
147,15,1,1,1,2,2,11,1,0,1,0
148,16,2,1,4,4,1,0,0,1,0,1
149,15,2,5,2,1,1,10,0,1,1,0
150,18,2,5,1,1,1,0,0,1,0,1
151,16,3,5,2,1,1,14,0,1,0,1
152,15,2,3,3,3,3,10,1,0,0,1
153,19,1,1,3,2,1,0,0,1,0,1
154,17,1,1,4,4,1,12,1,0,0,1
155,15,1,1,2,3,2,8,0,1,1,0
156,17,3,3,1,2,1,13,0,1,1,0
157,18,1,5,1,1,1,10,1,0,1,0
158,16,1,2,2,2,1,15,0,1,1,0
159,16,4,4,3,3,2,12,0,1,0,1
160,17,2,2,2,1,1,0,0,1,0,1
161,15,1,4,3,2,2,7,0,1,0,1
162,16,2,4,1,2,1,0,0,1,1,0
163,17,1,4,1,3,1,10,0,1,1,0
164,17,1,5,1,1,2,7,0,1,0,1
165,16,1,1,3,2,1,12,0,1,1,0
166,16,2,4,2,2,2,10,0,1,1,0
167,16,1,1,4,2,2,16,1,0,0,1
168,16,1,1,2,2,2,0,1,0,1,0
169,16,1,1,4,4,2,14,1,0,0,1
170,16,2,4,3,4,1,0,0,1,1,0
171,16,1,1,1,0,2,16,0,1,0,1
172,17,1,3,4,4,2,10,0,1,1,0
173,16,1,1,1,3,2,0,1,0,0,1
174,16,1,1,3,3,2,9,1,0,1,0
175,17,4,4,4,3,2,9,0,1,1,0
176,16,1,4,2,2,2,11,1,0,1,0
177,17,1,4,3,3,2,6,0,1,1,0
