sex,age,Dalc,Walc,Medu,Fedu,studytime,romantic,G3,famsize,Pstatus,traveltime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,famrel,freetime,goout,health,absences
F,18,1,1,4,4,2,no,6,GT3,A,2,0,yes,no,no,no,yes,yes,no,4,3,4,3,6
F,17,1,1,1,1,2,no,6,GT3,T,1,0,no,yes,no,no,no,yes,yes,5,3,3,3,4
F,15,2,3,1,1,2,no,10,LE3,T,1,3,yes,no,yes,no,yes,yes,yes,4,3,2,3,10
F,15,1,1,4,2,3,yes,15,GT3,T,1,0,no,yes,yes,yes,yes,yes,yes,3,2,2,5,2
F,16,1,2,3,3,2,no,10,GT3,T,1,0,no,yes,yes,no,yes,yes,no,4,3,2,5,4
M,16,1,2,4,3,2,no,15,LE3,T,1,0,no,yes,yes,yes,yes,yes,yes,5,4,2,5,10
M,16,1,1,2,2,2,no,11,LE3,T,1,0,no,no,no,no,yes,yes,yes,4,4,4,3,0
F,17,1,1,4,4,2,no,6,GT3,A,2,0,yes,yes,no,no,yes,yes,no,4,1,4,1,6
M,15,1,1,3,2,2,no,19,LE3,A,1,0,no,yes,yes,no,yes,yes,yes,4,2,2,1,0
M,15,1,1,3,4,2,no,15,GT3,T,1,0,no,yes,yes,yes,yes,yes,yes,5,5,1,5,0
F,15,1,2,4,4,2,no,9,GT3,T,1,0,no,yes,yes,no,yes,yes,yes,3,3,3,2,0
F,15,1,1,2,1,3,no,12,GT3,T,3,0,no,yes,no,yes,yes,yes,yes,5,2,2,4,4
M,15,1,3,4,4,1,no,14,LE3,T,1,0,no,yes,yes,yes,yes,yes,yes,4,3,3,5,2
M,15,1,2,4,3,2,no,11,GT3,T,2,0,no,yes,yes,no,yes,yes,yes,5,4,3,3,2
M,15,1,1,2,2,3,yes,16,GT3,A,1,0,no,yes,no,no,yes,yes,yes,4,5,2,3,0
F,16,1,2,4,4,1,no,14,GT3,T,1,0,no,yes,no,no,yes,yes,yes,4,4,4,2,4
F,16,1,2,4,4,3,no,14,GT3,T,1,0,no,yes,yes,yes,yes,yes,yes,3,2,3,2,6
F,16,1,1,3,3,2,no,10,GT3,T,3,0,yes,yes,no,yes,yes,yes,no,5,3,2,4,4
M,17,2,4,3,2,1,no,5,GT3,T,1,3,no,yes,no,yes,yes,yes,yes,5,5,5,5,16
M,16,1,3,4,3,1,no,10,LE3,T,1,0,no,no,yes,yes,yes,yes,yes,3,1,3,5,4
M,15,1,1,4,3,2,no,15,GT3,T,1,0,no,no,no,no,yes,yes,yes,4,4,1,1,0
M,15,1,1,4,4,1,no,15,GT3,T,1,0,no,yes,yes,no,yes,yes,yes,5,4,2,5,0
M,16,1,3,4,2,2,no,16,LE3,T,1,0,no,no,no,yes,yes,yes,yes,4,5,1,5,2
M,16,2,4,2,2,2,no,12,LE3,T,2,0,no,yes,no,yes,yes,yes,yes,5,4,4,5,0
F,15,1,1,2,4,3,no,8,GT3,T,1,0,yes,yes,yes,yes,yes,yes,yes,4,3,2,5,2
F,16,1,3,2,2,1,no,8,GT3,T,1,2,no,yes,yes,no,no,yes,yes,1,2,2,5,14
M,15,1,2,2,2,1,no,11,GT3,T,1,0,no,yes,yes,no,yes,yes,yes,4,2,2,5,2
M,15,2,4,4,2,1,no,15,GT3,T,1,0,no,no,yes,no,yes,yes,yes,2,2,4,1,4
M,16,1,1,3,4,2,no,11,LE3,A,1,0,yes,yes,no,yes,yes,yes,yes,5,3,3,5,4
M,16,5,5,4,4,2,yes,11,GT3,T,1,0,no,yes,yes,yes,yes,yes,yes,4,4,5,5,16
M,15,3,4,4,4,2,no,12,GT3,T,1,0,no,yes,yes,no,no,yes,yes,5,4,2,5,0
M,15,1,1,4,4,2,no,17,GT3,T,2,0,no,yes,no,yes,yes,yes,yes,4,3,1,5,0
M,15,1,1,4,3,2,yes,16,GT3,T,1,0,no,yes,no,yes,yes,yes,yes,4,5,2,5,0
M,15,1,1,3,3,2,no,12,LE3,T,1,0,no,no,no,yes,no,yes,yes,5,3,2,2,0
M,16,1,1,3,2,1,no,15,GT3,T,1,0,no,yes,yes,no,no,yes,yes,5,4,3,5,0
F,15,1,1,2,3,1,no,6,GT3,T,2,0,no,yes,no,yes,yes,yes,no,3,5,1,5,0
M,15,1,1,4,3,3,no,18,LE3,T,1,0,no,yes,no,yes,yes,yes,yes,5,4,3,4,2
M,16,1,1,4,4,3,yes,15,GT3,A,2,0,no,yes,no,yes,yes,yes,yes,2,4,3,5,7
F,15,1,1,3,4,3,no,11,GT3,T,1,0,yes,yes,yes,yes,yes,yes,yes,4,3,2,5,2
F,15,1,1,2,2,1,no,13,GT3,T,1,0,yes,yes,yes,yes,yes,yes,no,4,3,1,2,8
F,16,1,2,2,2,2,yes,11,LE3,T,2,1,no,yes,no,yes,no,yes,yes,3,3,3,3,25
M,15,2,4,4,4,1,yes,12,LE3,T,1,0,no,yes,no,no,no,yes,yes,5,4,3,5,8
M,15,1,1,4,4,2,no,18,GT3,T,1,0,no,yes,no,yes,yes,yes,yes,4,3,3,5,2
M,15,1,1,2,2,1,no,11,GT3,T,1,0,yes,yes,no,no,yes,yes,yes,5,4,1,1,0
F,16,2,2,2,2,2,no,9,LE3,T,2,1,yes,no,no,yes,yes,yes,yes,4,3,3,5,14
F,15,1,1,4,3,2,yes,6,LE3,A,1,0,yes,yes,yes,yes,yes,yes,yes,5,2,2,5,8
